"Summary of monthly rents recorded between April 2024 to March 2025 by borough and bedroom category for London [note 1, 2, 3, 4 ,5 ,6 ,7]",,,,,,,,,,,,,,,
This worksheet contains one table. Some cells refer to notes that can be found within the notes worksheet.,,,,,,,,,,,,,,,
Borough,Bedroom Category,Count of rents,Mean,Lower quartile,Median,Upper quartile,,,,,,,,,
Newham,Three Bedrooms, 350 ," 2,088 "," 1,800 "," 2,000 "," 2,400 ",,,,,,,,,
Newham,Four or More Bedrooms, 100 ," 2,612 "," 2,300 "," 2,500 "," 3,000 ",,,,,,,,,
Redbridge,Room, 60 , 773 , 671 , 826 , 876 ,,,,,,,,,
Redbridge,Studio, 30 , 992 , 850 ," 1,000 "," 1,163 ",,,,,,,,,
Redbridge,One Bedroom, 380 ," 1,335 "," 1,200 "," 1,350 "," 1,450 ",,,,,,,,,
Redbridge,Two Bedrooms, 650 ," 1,683 "," 1,500 "," 1,650 "," 1,875 ",,,,,,,,,
Redbridge,Three Bedrooms, 340 ," 2,060 "," 1,800 "," 2,050 "," 2,300 ",,,,,,,,,
Redbridge,Four or More Bedrooms, 140 ," 2,663 "," 2,250 "," 2,600 "," 2,900 ",,,,,,,,,
Richmond upon Thames,Room, 10 , 697 , .. , 726 , .. ,,,,,,,,,
Richmond upon Thames,Studio, 10 ," 1,321 ", .. ," 1,375 ", .. ,,,,,,,,,
Richmond upon Thames,One Bedroom, 240 ," 1,603 "," 1,400 "," 1,550 "," 1,750 ",,,,,,,,,
Richmond upon Thames,Two Bedrooms, 350 ," 2,154 "," 1,764 "," 2,050 "," 2,455 ",,,,,,,,,
Richmond upon Thames,Three Bedrooms, 170 ," 2,893 "," 2,250 "," 2,650 "," 3,300 ",,,,,,,,,
Richmond upon Thames,Four or More Bedrooms, 90 ," 4,218 "," 3,300 "," 3,850 "," 4,525 ",,,,,,,,,
Southwark,Room, 70 , 932 , 751 , 895 ," 1,090 ",,,,,,,,,
Southwark,Studio, 50 ," 1,369 "," 1,176 "," 1,350 "," 1,500 ",,,,,,,,,
Southwark,One Bedroom, 880 ," 1,793 "," 1,500 "," 1,712 "," 2,000 ",,,,,,,,,
Southwark,Two Bedrooms," 1,150 "," 2,291 "," 1,900 "," 2,200 "," 2,600 ",,,,,,,,,
Southwark,Three Bedrooms, 330 ," 2,807 "," 2,300 "," 2,700 "," 3,200 ",,,,,,,,,
Southwark,Four or More Bedrooms, 190 ," 3,611 "," 3,140 "," 3,500 "," 4,100 ",,,,,,,,,
Sutton,Room, - , .. , .. , .. , .. ,,,,,,,,,
Sutton,Studio, 30 , 956 , 830 , 950 ," 1,050 ",,,,,,,,,
Sutton,One Bedroom, 410 ," 1,210 "," 1,100 "," 1,209 "," 1,300 ",,,,,,,,,
Sutton,Two Bedrooms, 610 ," 1,512 "," 1,375 "," 1,545 "," 1,650 ",,,,,,,,,
Sutton,Three Bedrooms, 210 ," 1,942 "," 1,700 "," 1,995 "," 2,200 ",,,,,,,,,
Sutton,Four or More Bedrooms, 60 ," 2,553 "," 2,300 "," 2,500 "," 2,798 ",,,,,,,,,
Tower Hamlets,Room, 140 , 941 , 770 , 876 ," 1,112 ",,,,,,,,,
Tower Hamlets,Studio, 80 ," 1,787 "," 1,500 "," 1,733 "," 1,950 ",,,,,,,,,
Tower Hamlets,One Bedroom, 650 ," 1,932 "," 1,700 "," 1,860 "," 2,100 ",,,,,,,,,
Tower Hamlets,Two Bedrooms, 770 ," 2,385 "," 2,000 "," 2,300 "," 2,600 ",,,,,,,,,
Tower Hamlets,Three Bedrooms, 240 ," 2,933 "," 2,500 "," 2,800 "," 3,200 ",,,,,,,,,
Tower Hamlets,Four or More Bedrooms, 70 ," 3,790 "," 3,388 "," 3,800 "," 4,125 ",,,,,,,,,
Waltham Forest,Room, 20 , 740 , 626 , 691 , 845 ,,,,,,,,,
Waltham Forest,Studio, 40 ," 1,179 "," 1,040 "," 1,188 "," 1,256 ",,,,,,,,,
Waltham Forest,One Bedroom, 420 ," 1,398 "," 1,271 "," 1,400 "," 1,500 ",,,,,,,,,
Waltham Forest,Two Bedrooms, 600 ," 1,696 "," 1,525 "," 1,700 "," 1,850 ",,,,,,,,,
Waltham Forest,Three Bedrooms, 280 ," 2,085 "," 1,850 "," 2,088 "," 2,300 ",,,,,,,,,
Waltham Forest,Four or More Bedrooms, 90 ," 2,559 "," 2,300 "," 2,500 "," 2,800 ",,,,,,,,,
Wandsworth,Room, 150 ," 1,097 ", 901 ," 1,182 "," 1,293 ",,,,,,,,,
Wandsworth,Studio, 30 ," 1,318 "," 1,150 "," 1,350 "," 1,450 ",,,,,,,,,
Wandsworth,One Bedroom, 770 ," 1,804 "," 1,600 "," 1,750 "," 1,950 ",,,,,,,,,
Wandsworth,Two Bedrooms," 1,160 "," 2,301 "," 1,975 "," 2,250 "," 2,515 ",,,,,,,,,
Wandsworth,Three Bedrooms, 550 ," 3,032 "," 2,500 "," 2,900 "," 3,413 ",,,,,,,,,
Wandsworth,Four or More Bedrooms, 290 ," 4,242 "," 3,400 "," 4,000 "," 4,800 ",,,,,,,,,
Westminster,Room, 60 , 968 , 876 , 926 ," 1,061 ",,,,,,,,,
Westminster,Studio, 110 ," 1,773 "," 1,516 "," 1,742 "," 1,993 ",,,,,,,,,
Westminster,One Bedroom, 550 ," 2,708 "," 2,200 "," 2,600 "," 3,077 ",,,,,,,,,
Westminster,Two Bedrooms, 590 ," 3,678 "," 2,800 "," 3,497 "," 4,160 ",,,,,,,,,
Westminster,Three Bedrooms, 210 ," 5,071 "," 3,513 "," 4,618 "," 6,062 ",,,,,,,,,
Westminster,Four or More Bedrooms, 50 ," 8,567 "," 5,775 "," 7,800 "," 10,833 ",,,,,,,,,
,,,,,,,,,,,,,,,
